global_time,timestamp,Outer forearm sensor value (1),Inner forearm sensor value (2),angle
1691507136.5247257,14148440.0,317.0,324.0,
1691507136.5257273,14150008.0,318.0,339.0,
1691507136.5257273,14151576.0,324.0,354.0,
1691507136.5257273,14153144.0,322.0,362.0,
1691507136.5267262,14154716.0,322.0,368.0,
1691507136.5267262,14156284.0,321.0,364.0,
1691507136.5267262,14157856.0,324.0,355.0,
1691507136.5277262,14159424.0,324.0,352.0,
1691507136.5277262,14160992.0,323.0,332.0,
1691507136.528726,14162564.0,319.0,326.0,
1691507136.528726,14164132.0,316.0,318.0,
1691507136.528726,14165700.0,315.0,315.0,
1691507136.528726,14167272.0,316.0,318.0,
1691507136.529727,14168840.0,317.0,329.0,
1691507136.529727,14170408.0,319.0,342.0,
1691507136.529727,14171980.0,320.0,361.0,
1691507136.530727,14173548.0,323.0,366.0,
1691507136.530727,14175116.0,325.0,367.0,
1691507136.530727,14176684.0,325.0,362.0,
1691507136.530727,14178256.0,323.0,365.0,
1691507136.531726,14179824.0,329.0,332.0,
1691507136.531726,14181404.0,326.0,316.0,
1691507136.531726,14182964.0,319.0,325.0,
1691507136.531726,14184532.0,317.0,322.0,
1691507136.532726,14186104.0,315.0,320.0,
1691507136.532726,14187672.0,315.0,325.0,
1691507136.532726,14189240.0,316.0,334.0,
1691507136.5337265,14190812.0,317.0,346.0,
1691507136.5337265,14192380.0,321.0,363.0,
1691507136.5337265,14193948.0,324.0,374.0,
1691507136.5337265,14195520.0,323.0,388.0,
1691507136.534726,14197088.0,330.0,342.0,
1691507136.534726,14198656.0,324.0,352.0,
1691507136.535726,14200228.0,320.0,345.0,
1691507136.535726,14201796.0,318.0,328.0,
1691507136.535726,14203364.0,319.0,320.0,
1691507136.5882869,14204944.0,319.0,314.0,
1691507136.5882869,14206504.0,320.0,314.0,
1691507136.5882869,14208072.0,316.0,325.0,
1691507136.5892875,14209644.0,316.0,330.0,
1691507136.5892875,14211212.0,319.0,348.0,
1691507136.5892875,14212784.0,320.0,357.0,
1691507136.590288,14214352.0,324.0,366.0,
1691507136.590288,14215920.0,326.0,364.0,
1691507136.590288,14217492.0,325.0,360.0,
1691507136.590288,14219060.0,324.0,354.0,
1691507136.591288,14220628.0,321.0,340.0,
1691507136.591288,14222200.0,318.0,325.0,
1691507136.591288,14223768.0,317.0,321.0,
1691507136.592288,14225336.0,318.0,313.0,
1691507136.592288,14226908.0,315.0,324.0,
1691507136.592288,14228476.0,318.0,330.0,
1691507136.592288,14230044.0,324.0,321.0,
1691507136.5932877,14231616.0,323.0,347.0,
1691507136.5932877,14233184.0,321.0,371.0,
1691507136.5932877,14234752.0,324.0,371.0,
1691507136.5942872,14236324.0,325.0,371.0,
1691507136.5942872,14237892.0,326.0,357.0,
1691507136.5942872,14239460.0,324.0,350.0,
1691507136.5942872,14241032.0,321.0,335.0,
1691507136.5952876,14242600.0,318.0,325.0,
1691507136.5952876,14244168.0,316.0,334.0,
1691507136.5952876,14245740.0,319.0,316.0,
1691507136.596287,14247308.0,322.0,300.0,
1691507136.596287,14248876.0,319.0,322.0,
1691507136.596287,14250448.0,317.0,342.0,
1691507136.596287,14252016.0,317.0,359.0,
1691507136.597287,14253588.0,322.0,368.0,
1691507136.597287,14255156.0,324.0,370.0,
1691507136.597287,14256724.0,324.0,370.0,
1691507136.598287,14258292.0,323.0,357.0,
1691507136.598287,14259864.0,323.0,351.0,
1691507136.598287,14261432.0,322.0,340.0,
1691507136.598287,14263004.0,320.0,316.0,
1691507136.5992868,14264572.0,322.0,302.0,
1691507136.5992868,14266140.0,316.0,320.0,
1691507136.6508818,14267712.0,318.0,324.0,
1691507136.6508818,14269280.0,318.0,332.0,
1691507136.651882,14270848.0,316.0,343.0,
1691507136.651882,14272420.0,318.0,358.0,
1691507136.651882,14273988.0,323.0,370.0,
1691507136.652882,14275556.0,325.0,373.0,
1691507136.652882,14277128.0,327.0,371.0,
1691507136.652882,14278696.0,324.0,355.0,
1691507136.653882,14280264.0,322.0,346.0,
1691507136.653882,14281836.0,320.0,327.0,
1691507136.653882,14283404.0,318.0,321.0,
1691507136.6548817,14284972.0,319.0,315.0,
1691507136.6548817,14286544.0,318.0,308.0,
1691507136.6548817,14288112.0,317.0,318.0,
1691507136.6548817,14289680.0,316.0,329.0,
1691507136.655882,14291252.0,317.0,346.0,
1691507136.655882,14292820.0,318.0,360.0,
1691507136.655882,14294388.0,320.0,392.0,
1691507136.6568818,14295960.0,328.0,369.0,
1691507136.6568818,14297528.0,331.0,349.0,
1691507136.6568818,14299096.0,325.0,354.0,
1691507136.6578896,14300668.0,323.0,347.0,
1691507136.6578896,14302236.0,321.0,329.0,
1691507136.6578896,14303804.0,320.0,323.0,
1691507136.6578896,14305376.0,319.0,314.0,
1691507136.6588824,14306944.0,317.0,311.0,
1691507136.6588824,14308512.0,317.0,323.0,
1691507136.6588824,14310084.0,316.0,333.0,
1691507136.659882,14311652.0,316.0,370.0,
1691507136.659882,14313224.0,325.0,335.0,
1691507136.659882,14314792.0,324.0,364.0,
1691507136.659882,14316360.0,322.0,367.0,
1691507136.660882,14317928.0,324.0,364.0,
1691507136.660882,14319500.0,323.0,355.0,
1691507136.660882,14321068.0,322.0,344.0,
1691507136.661882,14322636.0,320.0,329.0,
1691507136.661882,14324208.0,318.0,321.0,
1691507136.661882,14325784.0,317.0,316.0,
1691507136.661882,14327348.0,317.0,316.0,
1691507136.662882,14328916.0,317.0,321.0,
1691507136.662882,14330484.0,317.0,332.0,
1691507136.71215,14332056.0,319.0,352.0,
1691507136.71215,14333624.0,321.0,366.0,
1691507136.71315,14335196.0,323.0,370.0,
1691507136.71315,14336764.0,326.0,366.0,
1691507136.71315,14338332.0,326.0,366.0,
1691507136.7141497,14339900.0,324.0,354.0,
1691507136.7141497,14341472.0,321.0,336.0,
1691507136.7141497,14343040.0,321.0,329.0,
1691507136.7151496,14344612.0,318.0,320.0,
