global_time,timestamp,Outer forearm sensor value (1),Inner forearm sensor value (2),Touch sensor 3 (ring finger),Touch sensor 2 (middle finger),Touch sensor 1 (index finger)
1694001872.261688,70410636.0,341.0,334.0,0.0,0.0,0.0
1694001872.2626889,70412728.0,332.0,332.0,0.0,0.0,0.0
1694001872.2626889,70414820.0,324.0,329.0,0.0,0.0,0.0
1694001872.2636888,70416912.0,322.0,326.0,0.0,0.0,0.0
1694001872.2636888,70419004.0,321.0,324.0,0.0,0.0,0.0
1694001872.2646885,70421096.0,331.0,322.0,0.0,0.0,0.0
1694001872.265689,70423188.0,326.0,323.0,1.0,0.0,0.0
1694001872.265689,70425280.0,327.0,327.0,1.0,0.0,0.0
1694001872.2666883,70427372.0,326.0,330.0,1.0,0.0,0.0
1694001872.3116884,70429468.0,329.0,328.0,1.0,0.0,0.0
1694001872.3126884,70431560.0,335.0,331.0,1.0,0.0,0.0
1694001872.3126884,70433652.0,337.0,327.0,1.0,0.0,0.0
1694001872.3136892,70435744.0,318.0,325.0,1.0,0.0,0.0
1694001872.3136892,70437836.0,323.0,323.0,1.0,0.0,0.0
1694001872.3146882,70439928.0,329.0,323.0,1.0,0.0,0.0
1694001872.3146882,70442020.0,329.0,325.0,1.0,0.0,0.0
1694001872.3156881,70444116.0,327.0,322.0,1.0,0.0,0.0
1694001872.31669,70446208.0,326.0,324.0,1.0,0.0,0.0
1694001872.31669,70448300.0,327.0,329.0,1.0,0.0,0.0
1694001872.317689,70450392.0,327.0,333.0,1.0,0.0,0.0
1694001872.317689,70452484.0,333.0,331.0,1.0,0.0,0.0
1694001872.3186936,70454576.0,328.0,327.0,1.0,0.0,0.0
1694001872.3196914,70456668.0,321.0,327.0,1.0,0.0,0.0
1694001872.3196914,70458764.0,327.0,322.0,1.0,0.0,0.0
1694001872.3206887,70460856.0,332.0,324.0,1.0,0.0,0.0
1694001872.3206887,70462948.0,328.0,322.0,1.0,0.0,0.0
1694001872.321691,70465040.0,327.0,324.0,1.0,0.0,0.0
1694001872.321691,70467132.0,326.0,328.0,1.0,0.0,0.0
1694001872.3226895,70469224.0,329.0,329.0,1.0,0.0,0.0
1694001872.323689,70471316.0,336.0,331.0,1.0,0.0,0.0
1694001872.323689,70473408.0,320.0,328.0,1.0,0.0,0.0
1694001872.3246887,70475500.0,324.0,328.0,1.0,0.0,0.0
1694001872.3246887,70477596.0,322.0,325.0,1.0,0.0,0.0
1694001872.3256893,70479688.0,332.0,323.0,1.0,0.0,0.0
1694001872.3256893,70481780.0,326.0,322.0,1.0,0.0,0.0
1694001872.3266883,70483872.0,325.0,318.0,1.0,0.0,0.0
1694001872.3266883,70485964.0,324.0,327.0,1.0,0.0,0.0
1694001872.3276896,70488056.0,334.0,335.0,1.0,0.0,0.0
1694001872.3286889,70490148.0,329.0,332.0,1.0,0.0,0.0
1694001872.375689,70492244.0,330.0,329.0,1.0,0.0,0.0
1694001872.3766885,70494336.0,328.0,328.0,1.0,0.0,0.0
1694001872.377689,70496428.0,328.0,319.0,1.0,0.0,0.0
1694001872.3786893,70498520.0,327.0,325.0,1.0,0.0,0.0
1694001872.3786893,70500612.0,328.0,322.0,1.0,0.0,0.0
1694001872.3796895,70502704.0,328.0,323.0,1.0,0.0,0.0
1694001872.380689,70504796.0,326.0,329.0,1.0,0.0,0.0
1694001872.38169,70506888.0,327.0,327.0,1.0,0.0,0.0
1694001872.38169,70508980.0,328.0,326.0,1.0,1.0,0.0
1694001872.382688,70511072.0,327.0,328.0,1.0,1.0,0.0
1694001872.382688,70513164.0,327.0,330.0,1.0,1.0,0.0
1694001872.3836887,70515260.0,327.0,328.0,1.0,1.0,0.0
1694001872.3836887,70517352.0,330.0,328.0,1.0,1.0,0.0
1694001872.3846886,70519444.0,326.0,321.0,1.0,1.0,0.0
1694001872.3856902,70521536.0,328.0,319.0,1.0,1.0,0.0
1694001872.386689,70523628.0,328.0,322.0,1.0,1.0,0.0
1694001872.386689,70525720.0,327.0,327.0,1.0,1.0,0.0
1694001872.3876896,70527812.0,328.0,330.0,1.0,1.0,0.0
1694001872.3886898,70529908.0,326.0,329.0,1.0,1.0,0.0
1694001872.3886898,70532000.0,327.0,331.0,1.0,1.0,0.0
1694001872.3896885,70534092.0,327.0,329.0,1.0,1.0,0.0
1694001872.3896885,70536184.0,328.0,329.0,1.0,1.0,0.0
1694001872.3906903,70538276.0,327.0,322.0,1.0,1.0,0.0
1694001872.3916914,70540368.0,328.0,322.0,1.0,1.0,0.0
1694001872.3916914,70542460.0,330.0,322.0,1.0,1.0,0.0
1694001872.392691,70544556.0,331.0,322.0,1.0,1.0,0.0
1694001872.3936923,70546648.0,327.0,327.0,1.0,1.0,0.0
1694001872.3936923,70548740.0,320.0,329.0,1.0,1.0,0.0
1694001872.3946927,70550832.0,324.0,333.0,1.0,1.0,0.0
1694001872.3956916,70552924.0,330.0,329.0,1.0,1.0,0.0
1694001872.3966923,70555016.0,327.0,328.0,1.0,1.0,0.0
1694001872.4386895,70557108.0,323.0,325.0,1.0,1.0,0.0
1694001872.4396896,70559204.0,337.0,325.0,1.0,1.0,0.0
1694001872.4396896,70561296.0,331.0,322.0,1.0,1.0,0.0
1694001872.4406888,70563388.0,320.0,320.0,1.0,1.0,0.0
1694001872.4406888,70565480.0,323.0,325.0,1.0,1.0,0.0
