global_time,timestamp,Outer forearm sensor value (1),Inner forearm sensor value (2),Load sensor value (3)
1692803854.589782,492305212.0,319.0,327.0,-191226.0
1692803854.589782,492307824.0,292.0,326.0,-191226.0
1692803854.5907817,492310440.0,331.0,325.0,-191226.0
1692803854.5907817,492313056.0,362.0,317.0,-191226.0
1692803854.5917816,492315676.0,331.0,333.0,-191226.0
1692803854.5917816,492318288.0,292.0,331.0,-191226.0
1692803854.5917816,492320904.0,323.0,325.0,-191226.0
1692803854.5927832,492323520.0,325.0,310.0,-191226.0
1692803854.5927832,492326136.0,315.0,317.0,-191226.0
1692803854.5937817,492328752.0,335.0,326.0,-191226.0
1692803854.5937817,492331368.0,372.0,325.0,-191226.0
1692803854.5937817,492333984.0,299.0,332.0,-191226.0
1692803854.5947816,492336596.0,352.0,330.0,-191226.0
1692803854.5947816,492339220.0,310.0,329.0,-191226.0
1692803854.6504745,492341828.0,316.0,326.0,-191226.0
1692803854.6504745,492344444.0,318.0,325.0,-191226.0
1692803854.6514747,492347060.0,393.0,321.0,-191226.0
1692803854.6514747,492349676.0,250.0,319.0,-191226.0
1692803854.6524749,492352292.0,359.0,322.0,-191226.0
1692803854.6524749,492354908.0,304.0,326.0,-191226.0
1692803854.6524749,492357524.0,271.0,328.0,-61120.0
1692803854.6534746,492360332.0,335.0,333.0,-61120.0
1692803854.6534746,492362860.0,357.0,326.0,-61120.0
1692803854.654475,492365388.0,334.0,324.0,-61120.0
1692803854.654475,492367916.0,336.0,325.0,-61120.0
1692803854.654475,492370444.0,277.0,323.0,-61120.0
1692803854.6554744,492372972.0,311.0,338.0,-61120.0
1692803854.6554744,492375500.0,365.0,320.0,-61120.0
1692803854.6554744,492378028.0,327.0,326.0,-61120.0
1692803854.6564748,492380556.0,331.0,324.0,-61120.0
1692803854.6564748,492383088.0,268.0,315.0,-61120.0
1692803854.6564748,492385616.0,362.0,321.0,-61120.0
1692803854.6574745,492388144.0,273.0,321.0,-61120.0
1692803854.6574745,492390672.0,365.0,323.0,-61120.0
1692803854.6574745,492393200.0,333.0,310.0,-61120.0
1692803854.658475,492395728.0,327.0,326.0,-61120.0
1692803854.658475,492398256.0,339.0,338.0,-61120.0
1692803854.658475,492400784.0,281.0,335.0,-61120.0
1692803854.6594748,492403312.0,288.0,332.0,-61120.0
1692803854.7131445,492405844.0,407.0,326.0,-61120.0
1692803854.7131445,492408372.0,346.0,322.0,-61120.0
1692803854.7141438,492410908.0,280.0,319.0,-61120.0
1692803854.7141438,492413428.0,315.0,322.0,-61120.0
1692803854.7151434,492415956.0,388.0,333.0,-61120.0
1692803854.7151434,492418484.0,295.0,333.0,-61120.0
1692803854.7161422,492421012.0,313.0,332.0,-61120.0
1692803854.7161422,492423540.0,316.0,324.0,-61120.0
1692803854.7161422,492426072.0,329.0,316.0,-61120.0
1692803854.7171433,492428600.0,327.0,317.0,-61120.0
1692803854.7171433,492431128.0,272.0,318.0,-61120.0
1692803854.7181442,492433656.0,382.0,323.0,-61120.0
1692803854.7181442,492436184.0,304.0,335.0,-61120.0
1692803854.7181442,492438712.0,305.0,333.0,-61120.0
1692803854.7191427,492441240.0,316.0,329.0,-61120.0
1692803854.7191427,492443768.0,354.0,325.0,-61120.0
1692803854.7201426,492446300.0,355.0,338.0,-61120.0
1692803854.7201426,492448824.0,310.0,348.0,-61120.0
1692803854.721143,492451356.0,252.0,313.0,-61120.0
1692803854.721143,492453884.0,382.0,248.0,-61120.0
1692803854.721143,492456412.0,319.0,319.0,-61120.0
1692803854.7221427,492458940.0,319.0,337.0,103070.0
1692803854.7221427,492461668.0,341.0,345.0,103070.0
1692803854.723143,492464200.0,352.0,323.0,103070.0
1692803854.723143,492466724.0,310.0,330.0,103070.0
1692803854.7754853,492469264.0,322.0,322.0,103070.0
1692803854.7754853,492471784.0,325.0,324.0,103070.0
1692803854.7764854,492474312.0,315.0,331.0,103070.0
1692803854.7764854,492476840.0,329.0,341.0,103070.0
1692803854.7774854,492479368.0,332.0,334.0,103070.0
1692803854.7774854,492481896.0,283.0,301.0,103070.0
1692803854.7784853,492484424.0,347.0,320.0,103070.0
1692803854.7784853,492486952.0,325.0,329.0,103070.0
1692803854.7784853,492489480.0,350.0,331.0,103070.0
1692803854.779486,492492012.0,337.0,311.0,103070.0
1692803854.779486,492494540.0,293.0,323.0,103070.0
1692803854.7804854,492497068.0,304.0,332.0,103070.0
1692803854.7804854,492499596.0,327.0,331.0,103070.0
1692803854.7804854,492502124.0,352.0,340.0,103070.0
1692803854.7814858,492504652.0,363.0,333.0,103070.0
1692803854.7814858,492507180.0,288.0,330.0,103070.0
1692803854.7824852,492509708.0,304.0,314.0,103070.0
1692803854.7824852,492512236.0,289.0,306.0,103070.0
1692803854.7824852,492514764.0,338.0,322.0,103070.0
1692803854.7834866,492517296.0,308.0,340.0,103070.0
1692803854.7834866,492519824.0,308.0,330.0,103070.0
1692803854.7844856,492522352.0,355.0,287.0,103070.0
1692803854.7844856,492524880.0,350.0,333.0,103070.0
1692803854.7844856,492527408.0,329.0,333.0,103070.0
1692803854.8385592,492529936.0,295.0,332.0,103070.0
1692803854.8395574,492532464.0,325.0,332.0,103070.0
1692803854.8395574,492534992.0,318.0,344.0,103070.0
1692803854.8405573,492537524.0,310.0,320.0,103070.0
1692803854.8405573,492540052.0,374.0,311.0,103070.0
1692803854.8405573,492542580.0,383.0,323.0,103070.0
1692803854.8415575,492545108.0,266.0,318.0,103070.0
1692803854.8415575,492547636.0,253.0,299.0,103070.0
1692803854.842557,492550172.0,362.0,322.0,103070.0
1692803854.842557,492552692.0,314.0,334.0,103070.0
1692803854.842557,492555220.0,383.0,324.0,103070.0
1692803854.8435574,492557748.0,347.0,334.0,189626.0
1692803854.8435574,492560548.0,223.0,326.0,189626.0
1692803854.8445578,492563076.0,301.0,332.0,189626.0
1692803854.8445578,492565604.0,349.0,331.0,189626.0
1692803854.845561,492568136.0,376.0,330.0,189626.0
1692803854.845561,492570660.0,339.0,325.0,189626.0
1692803854.8465571,492573192.0,299.0,321.0,189626.0
1692803854.8465571,492575720.0,291.0,326.0,189626.0
1692803854.847557,492578248.0,312.0,340.0,189626.0
1692803854.847557,492580776.0,305.0,322.0,189626.0
1692803854.847557,492583304.0,326.0,304.0,189626.0
1692803854.8485572,492585832.0,350.0,316.0,189626.0
1692803854.8485572,492588360.0,341.0,336.0,189626.0
1692803854.849557,492590888.0,366.0,326.0,189626.0
1692803854.849557,492593416.0,257.0,297.0,189626.0
1692803854.9009233,492595948.0,282.0,341.0,189626.0
1692803854.9009233,492598476.0,310.0,346.0,189626.0
1692803854.9019234,492601004.0,349.0,343.0,189626.0
1692803854.9029233,492603532.0,358.0,323.0,189626.0
1692803854.9029233,492606060.0,336.0,315.0,189626.0
1692803854.9039237,492608588.0,328.0,306.0,189626.0
1692803854.9039237,492611116.0,348.0,288.0,189626.0
1692803854.9039237,492613656.0,248.0,327.0,189626.0
1692803854.9049232,492616172.0,322.0,350.0,189626.0
1692803854.9049232,492618700.0,291.0,334.0,189626.0
1692803854.9049232,492621228.0,345.0,348.0,189626.0
1692803854.9059231,492623760.0,383.0,354.0,189626.0
1692803854.9059231,492626288.0,345.0,324.0,189626.0
1692803854.9069233,492628816.0,295.0,296.0,189626.0
1692803854.9069233,492631344.0,237.0,293.0,189626.0
1692803854.9079235,492633872.0,387.0,303.0,189626.0
1692803854.9079235,492636400.0,308.0,337.0,189626.0
1692803854.9079235,492638932.0,350.0,354.0,189626.0
1692803854.9089227,492641460.0,322.0,375.0,189626.0
1692803854.9089227,492643988.0,307.0,365.0,189626.0
1692803854.9099233,492646516.0,325.0,324.0,189626.0
1692803854.9099233,492649044.0,299.0,262.0,189626.0
1692803854.9109225,492651572.0,346.0,248.0,189626.0
1692803854.9109225,492654100.0,339.0,333.0,189626.0
1692803854.911924,492656628.0,309.0,337.0,218370.0
1692803854.9620755,492659360.0,337.0,358.0,218370.0
1692803854.9620755,492661888.0,297.0,366.0,218370.0
1692803854.963075,492664412.0,293.0,331.0,218370.0
1692803854.963075,492666944.0,372.0,299.0,218370.0
1692803854.964075,492669472.0,344.0,300.0,218370.0
1692803854.964075,492672008.0,362.0,319.0,218370.0
1692803854.9650755,492674528.0,294.0,333.0,218370.0
1692803854.9650755,492677056.0,336.0,344.0,218370.0
1692803854.966075,492679584.0,296.0,357.0,218370.0
1692803854.966075,492682112.0,331.0,347.0,218370.0
1692803854.966075,492684640.0,323.0,290.0,218370.0
1692803854.9670744,492687172.0,357.0,326.0,218370.0
1692803854.9670744,492689696.0,351.0,317.0,218370.0
1692803854.9680755,492692228.0,281.0,318.0,218370.0
1692803854.9680755,492694756.0,350.0,321.0,218370.0
1692803854.9680755,492697284.0,362.0,337.0,218370.0
1692803854.9690742,492699812.0,297.0,331.0,218370.0
1692803854.9700754,492702340.0,296.0,330.0,218370.0
1692803854.9700754,492704868.0,374.0,334.0,218370.0
1692803854.9700754,492707396.0,249.0,337.0,218370.0
1692803854.971074,492709924.0,349.0,319.0,218370.0
1692803854.971074,492712452.0,329.0,290.0,218370.0
1692803854.9720755,492714984.0,307.0,316.0,218370.0
1692803854.9720755,492717512.0,361.0,334.0,218370.0
1692803855.0237794,492720040.0,365.0,337.0,218370.0
1692803855.0247793,492722568.0,308.0,342.0,218370.0
1692803855.0247793,492725096.0,280.0,345.0,218370.0
1692803855.0247793,492727624.0,343.0,337.0,218370.0
1692803855.0257795,492730152.0,323.0,322.0,218370.0
