timestamp,Outer forearm sensor value (1),Inner forearm sensor value (2),left mouse button,right mouse button
362282980.0,319.0,322.0,1.0,0.0
362284636.0,319.0,322.0,1.0,0.0
362286292.0,323.0,326.0,1.0,0.0
362287952.0,323.0,327.0,1.0,0.0
362289608.0,324.0,321.0,1.0,0.0
362291264.0,323.0,321.0,1.0,0.0
362292920.0,322.0,321.0,1.0,0.0
362294576.0,323.0,323.0,1.0,0.0
362296236.0,323.0,323.0,1.0,0.0
362297892.0,321.0,325.0,1.0,0.0
362299548.0,322.0,326.0,1.0,0.0
362301204.0,321.0,325.0,1.0,0.0
362302860.0,319.0,321.0,1.0,0.0
362304524.0,321.0,321.0,1.0,0.0
362306172.0,322.0,321.0,1.0,0.0
362307828.0,321.0,321.0,1.0,0.0
362309488.0,322.0,322.0,1.0,0.0
362311144.0,322.0,322.0,1.0,0.0
362312800.0,323.0,324.0,1.0,0.0
362314456.0,324.0,323.0,1.0,0.0
362316112.0,323.0,325.0,1.0,0.0
362317768.0,323.0,324.0,1.0,0.0
362319424.0,321.0,325.0,1.0,0.0
362321080.0,321.0,324.0,1.0,0.0
362322740.0,321.0,323.0,1.0,0.0
362324396.0,320.0,323.0,1.0,0.0
362326052.0,321.0,322.0,1.0,0.0
362327708.0,320.0,321.0,1.0,0.0
362329364.0,321.0,322.0,1.0,0.0
362331020.0,322.0,322.0,1.0,0.0
362332680.0,323.0,322.0,1.0,0.0
362334336.0,322.0,324.0,1.0,0.0
362335992.0,327.0,328.0,1.0,0.0
362337648.0,330.0,325.0,1.0,0.0
362339304.0,325.0,325.0,1.0,0.0
362340960.0,322.0,324.0,1.0,0.0
362342616.0,325.0,324.0,1.0,0.0
362344272.0,320.0,323.0,1.0,0.0
362345932.0,311.0,321.0,1.0,0.0
362347588.0,317.0,321.0,1.0,0.0
362349244.0,326.0,321.0,1.0,0.0
362350900.0,325.0,321.0,1.0,0.0
362352556.0,324.0,324.0,1.0,0.0
362354212.0,326.0,323.0,1.0,0.0
362355872.0,326.0,324.0,1.0,0.0
362357524.0,316.0,325.0,1.0,0.0
362359184.0,315.0,325.0,1.0,0.0
362360848.0,321.0,324.0,1.0,0.0
362362496.0,321.0,324.0,1.0,0.0
362364152.0,321.0,323.0,1.0,0.0
362365808.0,323.0,322.0,1.0,0.0
362367464.0,326.0,320.0,1.0,0.0
362369124.0,321.0,320.0,1.0,0.0
362370780.0,321.0,322.0,1.0,0.0
362372436.0,324.0,321.0,1.0,0.0
362374092.0,324.0,324.0,0.0,0.0
362375748.0,323.0,325.0,0.0,0.0
362377408.0,321.0,326.0,0.0,0.0
362379060.0,323.0,325.0,0.0,0.0
362380716.0,322.0,323.0,0.0,0.0
362382376.0,322.0,323.0,0.0,0.0
362384032.0,318.0,323.0,0.0,0.0
362385688.0,324.0,324.0,0.0,0.0
362387344.0,324.0,321.0,0.0,0.0
362389000.0,323.0,321.0,0.0,0.0
362390660.0,324.0,322.0,0.0,0.0
362392312.0,323.0,322.0,0.0,0.0
362393972.0,323.0,323.0,0.0,0.0
362395628.0,323.0,325.0,0.0,0.0
362397284.0,323.0,326.0,0.0,0.0
362398940.0,322.0,324.0,0.0,0.0
362400596.0,322.0,324.0,0.0,0.0
362402256.0,321.0,327.0,0.0,0.0
362403908.0,320.0,323.0,0.0,0.0
362405568.0,321.0,321.0,0.0,0.0
362407224.0,321.0,322.0,0.0,0.0
362408880.0,322.0,321.0,0.0,0.0
362410536.0,323.0,322.0,0.0,0.0
362412192.0,324.0,321.0,0.0,0.0
362413848.0,323.0,322.0,0.0,0.0
362415508.0,323.0,323.0,0.0,0.0
362417172.0,323.0,324.0,0.0,0.0
362418820.0,322.0,325.0,0.0,0.0
362420476.0,321.0,325.0,0.0,0.0
362422132.0,318.0,324.0,0.0,0.0
362423788.0,319.0,323.0,0.0,0.0
362425444.0,318.0,322.0,0.0,0.0
362427104.0,322.0,321.0,0.0,0.0
362428760.0,323.0,321.0,0.0,0.0
362430416.0,323.0,321.0,0.0,0.0
362432072.0,324.0,321.0,0.0,0.0
362433728.0,323.0,323.0,0.0,0.0
362435384.0,323.0,324.0,0.0,0.0
362437040.0,322.0,324.0,0.0,0.0
362438700.0,322.0,325.0,0.0,0.0
362440356.0,322.0,325.0,0.0,0.0
362442012.0,320.0,324.0,0.0,0.0
362443668.0,320.0,325.0,0.0,0.0
362445324.0,322.0,323.0,0.0,0.0
362446980.0,321.0,321.0,0.0,0.0
362448636.0,322.0,322.0,0.0,0.0
362450292.0,323.0,321.0,0.0,0.0
362451952.0,325.0,325.0,0.0,0.0
362453608.0,325.0,324.0,0.0,0.0
362455264.0,322.0,324.0,0.0,0.0
362456920.0,323.0,325.0,0.0,0.0
362458576.0,324.0,324.0,0.0,0.0
362460232.0,321.0,325.0,0.0,0.0
362461892.0,320.0,325.0,0.0,0.0
362463548.0,319.0,324.0,0.0,0.0
362465204.0,320.0,322.0,0.0,0.0
362466860.0,323.0,320.0,0.0,0.0
362468516.0,322.0,322.0,0.0,0.0
362470172.0,324.0,321.0,0.0,0.0
362471828.0,322.0,322.0,0.0,0.0
362473496.0,324.0,322.0,0.0,0.0
362475144.0,325.0,323.0,0.0,0.0
362476800.0,322.0,325.0,0.0,0.0
362478456.0,322.0,325.0,0.0,0.0
362480112.0,320.0,325.0,0.0,0.0
362481768.0,321.0,324.0,0.0,0.0
362483424.0,321.0,324.0,0.0,0.0
362485084.0,321.0,324.0,0.0,0.0
362486736.0,322.0,323.0,0.0,0.0
362488396.0,322.0,322.0,0.0,0.0
362490052.0,321.0,320.0,0.0,0.0
362491708.0,322.0,320.0,0.0,0.0
362493364.0,323.0,322.0,0.0,0.0
362495020.0,324.0,323.0,0.0,0.0
362496676.0,324.0,324.0,0.0,0.0
362498336.0,322.0,324.0,0.0,0.0
362499992.0,320.0,325.0,0.0,0.0
362501648.0,321.0,325.0,0.0,0.0
362503304.0,321.0,324.0,0.0,0.0
362504960.0,320.0,322.0,0.0,0.0
362506616.0,321.0,321.0,0.0,0.0
362508276.0,322.0,322.0,0.0,0.0
362509928.0,321.0,322.0,0.0,0.0
362511588.0,323.0,321.0,0.0,0.0
362513244.0,325.0,322.0,0.0,0.0
362514900.0,323.0,322.0,0.0,0.0
362516556.0,324.0,324.0,0.0,0.0
362518212.0,322.0,324.0,0.0,0.0
362519868.0,321.0,324.0,0.0,0.0
362521528.0,325.0,329.0,0.0,0.0
362523184.0,321.0,324.0,0.0,0.0
362524840.0,320.0,322.0,0.0,0.0
362526496.0,321.0,321.0,0.0,0.0
362528152.0,322.0,321.0,0.0,0.0
362529816.0,322.0,321.0,0.0,0.0
362531464.0,323.0,321.0,0.0,0.0
362533120.0,323.0,322.0,0.0,0.0
362534780.0,323.0,323.0,0.0,0.0
362536436.0,326.0,327.0,0.0,0.0
362538092.0,323.0,324.0,0.0,0.0
362539748.0,320.0,324.0,0.0,1.0
362541404.0,322.0,326.0,0.0,1.0
362543060.0,321.0,323.0,0.0,1.0
362544716.0,321.0,322.0,0.0,1.0
362546376.0,321.0,322.0,0.0,1.0
362548032.0,321.0,322.0,0.0,1.0
362549688.0,322.0,321.0,0.0,1.0
362551344.0,323.0,321.0,0.0,1.0
362553000.0,323.0,321.0,0.0,1.0
362554660.0,322.0,323.0,0.0,1.0
362556312.0,322.0,324.0,0.0,1.0
362557968.0,320.0,324.0,0.0,1.0
362559628.0,320.0,325.0,0.0,1.0
362561284.0,321.0,325.0,0.0,1.0
362562940.0,321.0,325.0,0.0,1.0
362564596.0,321.0,323.0,0.0,1.0
362566252.0,323.0,323.0,0.0,1.0
362567912.0,323.0,322.0,0.0,1.0
362569568.0,323.0,321.0,0.0,1.0
362571224.0,322.0,322.0,0.0,1.0
362572880.0,322.0,321.0,0.0,1.0
362574536.0,323.0,323.0,0.0,1.0
362576192.0,323.0,324.0,0.0,1.0
362577848.0,322.0,325.0,0.0,1.0
362579504.0,322.0,324.0,0.0,1.0
362581164.0,322.0,326.0,0.0,1.0
362582820.0,324.0,325.0,0.0,1.0
362584476.0,323.0,324.0,0.0,1.0
362586140.0,324.0,324.0,0.0,1.0
362587788.0,322.0,321.0,0.0,1.0
362589444.0,322.0,320.0,0.0,1.0
362591100.0,314.0,321.0,0.0,1.0
362592756.0,320.0,321.0,0.0,1.0
362594416.0,323.0,322.0,0.0,1.0
362596072.0,324.0,324.0,0.0,1.0
362597728.0,324.0,326.0,0.0,1.0
362599384.0,323.0,325.0,0.0,1.0
362601040.0,322.0,324.0,0.0,1.0
362602700.0,322.0,328.0,0.0,1.0
362604356.0,320.0,324.0,0.0,1.0
362606012.0,322.0,322.0,0.0,1.0
362607668.0,324.0,322.0,0.0,1.0
362609324.0,323.0,321.0,0.0,1.0
362610980.0,322.0,321.0,0.0,1.0
362612636.0,318.0,322.0,0.0,1.0
362614296.0,322.0,323.0,0.0,1.0
362615952.0,325.0,324.0,0.0,1.0
362617608.0,324.0,324.0,0.0,1.0
362619264.0,323.0,325.0,0.0,1.0
362620920.0,322.0,324.0,0.0,1.0
362622576.0,323.0,325.0,0.0,1.0
362624232.0,320.0,323.0,0.0,1.0
362625888.0,323.0,323.0,0.0,1.0
362627548.0,321.0,322.0,0.0,1.0
362629204.0,321.0,322.0,0.0,1.0
362630860.0,322.0,321.0,0.0,1.0
362632516.0,325.0,321.0,0.0,1.0
362634172.0,322.0,322.0,0.0,1.0
362635828.0,324.0,325.0,0.0,1.0
362637484.0,320.0,325.0,0.0,1.0
362639144.0,328.0,325.0,0.0,1.0
362640800.0,327.0,324.0,0.0,1.0
362642460.0,327.0,324.0,0.0,1.0
362644112.0,319.0,324.0,0.0,1.0
362645768.0,317.0,323.0,0.0,1.0
362647424.0,311.0,322.0,0.0,1.0
362649080.0,321.0,321.0,0.0,1.0
362650736.0,316.0,321.0,0.0,1.0
362652396.0,325.0,324.0,0.0,1.0
362654052.0,326.0,323.0,0.0,1.0
362655708.0,326.0,323.0,0.0,1.0
362657364.0,325.0,323.0,0.0,1.0
362659020.0,324.0,324.0,0.0,1.0
362660680.0,324.0,325.0,0.0,1.0
362662336.0,323.0,324.0,0.0,1.0
362663988.0,323.0,323.0,0.0,1.0
362665648.0,318.0,323.0,0.0,1.0
362667304.0,318.0,322.0,0.0,0.0
362668960.0,321.0,322.0,0.0,0.0
362670616.0,320.0,321.0,0.0,0.0
362672276.0,323.0,322.0,0.0,0.0
362673928.0,324.0,322.0,0.0,0.0
362675588.0,324.0,321.0,0.0,0.0
362677244.0,327.0,324.0,0.0,0.0
362678900.0,324.0,325.0,0.0,0.0
